ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Customer Segment,Relationship Years,Branch,City,Customer Lifetime Value (CLV),Financial Health Score,Relationship Priority Score,Next Best Product
1,25,1,49,380066,4,1.6,1,0,0,1,0,0,0,Mass Affluent,2,Maninagar Branch,Ahmedabad,124800,64,33.5,Home Loan
2,45,19,34,560081,3,1.5,1,0,0,1,0,0,0,Mass,16,Indiranagar Branch,Bengaluru,146400,57,41.0,Life Insurance
3,39,15,11,226070,1,1.0,1,0,0,0,0,0,0,Mass,7,Gomti Nagar Branch,Lucknow,18600,40,15.0,Credit Card
4,35,9,100,411072,1,2.7,2,0,0,0,0,0,0,Mass Affluent,3,Kothrud Branch,Pune,242600,71,55.9,Credit Card
5,35,8,45,400037,4,1.0,2,0,0,0,0,0,1,Mass,8,Andheri East Branch,Mumbai,122800,53,33.9,Home Loan
6,37,13,29,440030,4,0.4,2,155,0,0,0,1,0,Mass,13,Wardha Road Branch,Nagpur,126000,40,31.7,Life Insurance
7,53,27,72,380055,2,1.5,2,0,0,0,0,1,0,Mass Affluent,5,Satellite Branch,Ahmedabad,164200,69,45.5,Credit Card
8,50,24,22,380026,1,0.3,3,0,0,0,0,0,1,Mass,25,Navrangpura Branch,Ahmedabad,114200,57,41.1,Fixed Deposit
9,35,10,81,400027,3,0.6,2,104,0,0,0,1,0,Mass Affluent,4,Fort Branch,Mumbai,232300,69,51.4,Credit Card
10,34,9,180,500092,1,8.9,3,0,1,0,0,0,0,HNI,6,Banjara Hills Branch,Hyderabad,924700,65,74.6,Home Loan
11,65,39,105,560016,4,2.4,3,0,0,0,0,0,0,Affluent,10,Indiranagar Branch,Bengaluru,342500,80,69.6,Fixed Deposit
12,29,5,45,452092,3,0.1,2,0,0,0,0,1,0,Mass,5,Vijay Nagar Branch,Indore,75400,65,30.2,Credit Card
13,48,23,114,411069,2,3.8,3,0,0,1,0,0,0,Affluent,18,Kothrud Branch,Pune,638700,82,80.9,Fixed Deposit
